iter	Passed	Remaining
0	1	181
1	3	148
2	4	144
3	5	136
4	6	129
5	8	132
6	9	127
7	10	122
8	11	116
9	12	112
10	14	113
11	15	113
12	17	114
13	18	113
14	19	110
15	20	107
16	21	106
17	23	106
18	24	104
19	25	103
20	27	102
21	28	101
22	30	100
23	31	99
24	32	98
25	34	96
26	35	95
27	36	93
28	37	91
29	37	88
30	38	86
31	40	85
32	41	84
33	42	83
34	44	82
35	45	80
36	46	79
37	48	78
38	49	77
39	50	75
40	51	73
41	51	71
42	52	69
43	52	67
44	53	65
45	54	64
46	55	62
47	56	61
48	57	59
49	58	58
50	59	57
51	60	55
52	60	53
53	61	52
54	61	50
55	62	48
56	62	47
57	63	46
58	65	45
59	66	44
60	67	43
61	68	42
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	73	34
68	74	33
69	74	32
70	75	30
71	76	29
72	76	28
73	77	27
74	78	26
75	79	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	84	17
83	85	16
84	86	15
85	86	14
86	87	13
87	88	12
88	88	10
89	89	9
90	90	8
91	90	7
92	91	6
93	91	5
94	92	4
95	92	3
96	93	2
97	93	1
98	94	0
99	94	0
