iter	Passed	Remaining
0	136	136214
1	137	68717
2	138	46110
3	139	34781
4	140	27991
5	141	23474
6	142	20222
7	143	17808
8	144	15906
9	145	14369
10	146	13154
11	147	12105
12	147	11222
13	148	10460
14	149	9818
15	150	9237
16	151	8736
17	151	8280
18	152	7867
19	152	7495
20	153	7160
21	154	6855
22	154	6574
23	155	6325
24	156	6094
25	156	5876
26	157	5674
27	158	5486
28	158	5320
29	159	5156
30	160	5003
31	160	4860
32	161	4726
33	162	4604
34	162	4484
35	163	4371
36	163	4267
37	164	4169
38	165	4078
39	166	3989
40	167	3915
41	168	3834
42	168	3756
43	169	3682
44	170	3610
45	170	3541
46	173	3511
47	174	3454
48	175	3408
49	177	3379
50	178	3328
51	179	3278
52	180	3226
53	181	3174
54	182	3127
55	182	3079
56	183	3035
57	184	2990
58	184	2948
59	185	2906
60	186	2865
61	186	2826
62	187	2788
63	188	2751
64	188	2715
65	189	2679
66	190	2647
67	190	2617
68	191	2587
69	192	2557
70	193	2530
71	194	2504
72	194	2476
73	196	2454
74	197	2432
75	198	2407
76	198	2383
77	199	2358
78	200	2333
79	200	2309
80	201	2285
81	202	2261
82	202	2235
83	203	2213
84	203	2192
85	204	2170
86	204	2150
87	205	2130
88	206	2112
89	207	2093
90	207	2076
91	209	2062
92	210	2049
93	210	2032
94	211	2015
95	212	1999
96	213	1983
97	213	1967
98	214	1950
99	214	1934
100	215	1918
101	216	1902
102	216	1887
103	217	1872
104	217	1858
105	218	1843
106	219	1830
107	219	1816
108	220	1803
109	221	1789
110	221	1776
111	222	1764
112	223	1753
113	224	1741
114	225	1732
115	225	1720
116	226	1707
117	226	1695
118	227	1684
119	228	1673
120	228	1662
121	229	1650
122	229	1639
123	230	1629
124	231	1619
125	231	1609
126	232	1597
127	233	1587
128	233	1577
129	234	1567
130	234	1557
131	235	1547
132	235	1537
133	236	1528
134	237	1519
135	237	1510
136	238	1502
137	239	1495
138	240	1488
139	241	1480
140	241	1472
